pattern,pattern_tiles,pattern_connection,time_elapsed,spring_index,spring_type,last_impulse,last_force
ammannbeenker,72,hamiltonian,0.3,34,hull,-3.039628496755984,-759.9071241889959
ammannbeenker,72,hamiltonian,0.3,35,hull,-0.3339490916954944,-83.4872729238736
ammannbeenker,72,hamiltonian,0.3,36,hull,-2.7728989963633732,-693.2247490908433
ammannbeenker,72,hamiltonian,0.3,37,hull,0.05680250851793079,14.200627129482697
ammannbeenker,72,hamiltonian,0.3,38,hull,-4.126767101254476,-1031.691775313619
ammannbeenker,72,hamiltonian,0.3,39,hull,-0.9209249262191557,-230.2312315547889
ammannbeenker,72,hamiltonian,0.3,40,hull,-1.6509511399605536,-412.7377849901384
ammannbeenker,72,hamiltonian,0.3,41,hull,5.320078308289833,1330.0195770724583
ammannbeenker,72,hamiltonian,0.3,42,hull,9.635670831932742,2408.9177079831857
ammannbeenker,72,hamiltonian,0.3,43,hull,2.763261008034588,690.815252008647
ammannbeenker,72,hamiltonian,0.3,44,hull,11.977957697928614,2994.4894244821535
ammannbeenker,72,hamiltonian,0.3,45,hull,10.024739139597633,2506.1847848994084
ammannbeenker,72,hamiltonian,0.3,46,hull,11.14744519313281,2786.8612982832024
ammannbeenker,72,hamiltonian,0.3,47,hull,2.05365262717655,513.4131567941374
ammannbeenker,72,hamiltonian,0.3,48,hull,-1.7715921984453824,-442.8980496113456
ammannbeenker,72,hamiltonian,0.3,49,hull,6.163856079919957,1540.9640199799892
ammannbeenker,72,hamiltonian,0.3,50,hull,15.30330671337857,3825.8266783446425
ammannbeenker,72,hamiltonian,0.3,51,hull,7.346235435191671,1836.5588587979178
ammannbeenker,72,hamiltonian,0.3,52,hull,0.12517628531462274,31.294071328655686
ammannbeenker,72,hamiltonian,0.3,53,hull,14.91549613605723,3728.8740340143077
ammannbeenker,72,hamiltonian,0.3,54,hull,18.937735646788937,4734.433911697234
ammannbeenker,72,hamiltonian,0.3,55,hull,6.938026447377239,1734.5066118443096
ammannbeenker,72,hamiltonian,0.3,56,hull,1.4879907045521117,371.99767613802794
ammannbeenker,72,hamiltonian,0.3,57,hull,6.382529622276202,1595.6324055690504
ammannbeenker,72,hamiltonian,0.3,58,hull,13.275460899235362,3318.8652248088406
ammannbeenker,72,hamiltonian,0.3,59,hull,0.9254701028604144,231.3675257151036
ammannbeenker,72,hamiltonian,0.3,60,hull,-3.236609658965285,-809.1524147413213
ammannbeenker,72,hamiltonian,0.3,61,hull,7.825975269216321,1956.4938173040803
ammannbeenker,72,hamiltonian,0.3,62,hull,15.390747877929103,3847.686969482276
ammannbeenker,72,hamiltonian,0.3,63,hull,3.962753787997688,990.688446999422
ammannbeenker,72,hamiltonian,0.3,64,hull,-1.1144621446590948,-278.6155361647737
ammannbeenker,72,hamiltonian,0.3,65,hull,7.405201231461628,1851.300307865407
ammannbeenker,72,hamiltonian,0.3,66,hull,15.161268970563183,3790.317242640796
ammannbeenker,72,hamiltonian,0.3,67,hull,4.59108538073262,1147.771345183155
ammannbeenker,72,hamiltonian,0.3,68,hull,-0.2524720631334964,-63.1180157833741
ammannbeenker,72,hamiltonian,0.3,69,hull,6.049816088316244,1512.454022079061
ammannbeenker,72,hamiltonian,0.3,70,hull,9.87274919495668,2468.1872987391703
ammannbeenker,72,hamiltonian,0.3,71,hull,3.3555143295288583,838.8785823822145
ammannbeenker,72,hamiltonian,0.4,0,hull,-7.400681176604508,-1850.170294151127
ammannbeenker,72,hamiltonian,0.4,1,hull,-13.127566211758339,-3281.8915529395845
ammannbeenker,72,hamiltonian,0.4,2,hull,-14.139815321628076,-3534.953830407019
ammannbeenker,72,hamiltonian,0.4,3,hull,-17.819662569141713,-4454.9156422854285
ammannbeenker,72,hamiltonian,0.4,4,hull,-13.95689313759727,-3489.2232843993174
ammannbeenker,72,hamiltonian,0.4,5,hull,-13.852360385023243,-3463.0900962558107
ammannbeenker,72,hamiltonian,0.4,6,hull,-12.32344701876918,-3080.861754692295
ammannbeenker,72,hamiltonian,0.4,7,hull,-12.795922764957307,-3198.980691239327
ammannbeenker,72,hamiltonian,0.4,8,hull,-8.81959360476949,-2204.8984011923726
ammannbeenker,72,hamiltonian,0.4,9,hull,-8.592928276290353,-2148.2320690725883
ammannbeenker,72,hamiltonian,0.4,10,hull,-6.964424698647045,-1741.1061746617613
ammannbeenker,72,hamiltonian,0.4,11,hull,-8.892635309262383,-2223.1588273155958
ammannbeenker,72,hamiltonian,0.4,12,hull,-5.430728572301124,-1357.682143075281
ammannbeenker,72,hamiltonian,0.4,13,hull,-6.323686749116107,-1580.9216872790269
ammannbeenker,72,hamiltonian,0.4,14,hull,-6.15111883820448,-1537.77970955112
ammannbeenker,72,hamiltonian,0.4,15,hull,-8.944173896770451,-2236.043474192613
ammannbeenker,72,hamiltonian,0.4,16,hull,-4.83708168455294,-1209.270421138235
ammannbeenker,72,hamiltonian,0.4,17,hull,0.31390754670161763,78.4768866754044
ammannbeenker,72,hamiltonian,0.4,18,hull,-7.97945951464963,-1994.8648786624074
ammannbeenker,72,hamiltonian,0.4,19,hull,-10.379692268029132,-2594.923067007283
ammannbeenker,72,hamiltonian,0.4,20,hull,-9.730716978126019,-2432.6792445315045
ammannbeenker,72,hamiltonian,0.4,21,hull,-5.736621493041573,-1434.1553732603934
ammannbeenker,72,hamiltonian,0.4,22,hull,-5.458863883784881,-1364.7159709462203
ammannbeenker,72,hamiltonian,0.4,23,hull,-3.9800727439676287,-995.0181859919071
ammannbeenker,72,hamiltonian,0.4,24,hull,-6.399734197274275,-1599.9335493185686
ammannbeenker,72,hamiltonian,0.4,25,hull,-1.1631515696122323,-290.7878924030581
ammannbeenker,72,hamiltonian,0.4,26,hull,-6.475397561648767,-1618.8493904121917
ammannbeenker,72,hamiltonian,0.4,27,hull,-1.1633468534588032,-290.8367133647008
ammannbeenker,72,hamiltonian,0.4,28,hull,-6.7109116040578805,-1677.72790101447
ammannbeenker,72,hamiltonian,0.4,29,hull,-1.2273727245729409,-306.8431811432352
ammannbeenker,72,hamiltonian,0.4,30,hull,-3.8551166280034983,-963.7791570008745
ammannbeenker,72,hamiltonian,0.4,31,hull,-1.4235856314807522,-355.89640787018806
ammannbeenker,72,hamiltonian,0.4,32,hull,-5.63461201473104,-1408.65300368276
ammannbeenker,72,hamiltonian,0.4,33,hull,-3.7746506749828845,-943.6626687457211
ammannbeenker,72,hamiltonian,0.4,34,hull,-2.0256877697782634,-506.42194244456584
ammannbeenker,72,hamiltonian,0.4,35,hull,-0.39972829115919134,-99.93207278979783
ammannbeenker,72,hamiltonian,0.4,36,hull,-2.2558754145181337,-563.9688536295334
ammannbeenker,72,hamiltonian,0.4,37,hull,-2.0030112643166325,-500.7528160791581
ammannbeenker,72,hamiltonian,0.4,38,hull,-1.3534873384803467,-338.3718346200867
ammannbeenker,72,hamiltonian,0.4,39,hull,-1.09549606555748,-273.87401638936996
ammannbeenker,72,hamiltonian,0.4,40,hull,-0.027392732078347012,-6.848183019586753
ammannbeenker,72,hamiltonian,0.4,41,hull,3.832981035137178,958.2452587842944
